Drink Name,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item
Sugar Free Limeade,,,,Cost Per Drink,$1.55
Sugar Free Coconut Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Coconut Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Coconut Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Coconut Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Coconut Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Coconut Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Coconut Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Coconut Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Coconut Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Coconut Limeade,Sugar Fee Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Coconut Limeade,Sugar Free Coconut,1,Per Oz,$0.29,$0.29
Sugar Free Coconut Limeade,,,,Cost Per Drink,$1.59
Sugar Free Peach Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Peach Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Peach Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Peach Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Peach Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Peach Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Peach Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Peach Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Peach Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Peach Limeade,Sugar Fee Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Peach Limeade,Sugar Free Peach,1,Per Oz,$0.29,$0.29
Sugar Free Peach Limeade,,,,Cost Per Drink,$1.59
Sugar Free Raspberry Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Raspberry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Raspberry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Raspberry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Raspberry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Raspberry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Raspberry Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Raspberry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Raspberry Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Raspberry Limeade,Sugar Fee Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Raspberry Limeade,Sugar Free Raspberry,1,Per Oz,$0.29,$0.29
Sugar Free Raspberry Limeade,,,,Cost Per Drink,$1.59
Sugar Free Strawberry Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Strawberry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Strawberry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Strawberry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Strawberry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Strawberry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Strawberry Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Strawberry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Strawberry Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Strawberry Limeade,Sugar Fee Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Strawberry Limeade,Sugar Free Strawberry,1,Per Oz,$0.29,$0.29
Sugar Free Strawberry Limeade,,,,Cost Per Drink,$1.59
Sugar Free Cherry Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Cherry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Cherry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Cherry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Cherry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Cherry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Cherry Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Cherry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Cherry Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Cherry Limeade,Sugar Fee Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Cherry Limeade,Sugar Free Cherry,1,Per Oz,$0.29,$0.29
Sugar Free Cherry Limeade,,,,Cost Per Drink,$1.59
Regular Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Regular Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Regular Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Regular Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Regular Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Regular Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Regular Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Regular Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Regular Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Regular Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Regular Lemon Limeade,Simple Syrup,3,Per Oz,$0.03,$0.10
Regular Lemon Limeade,,,,Cost Per Drink,$1.17
Blue Raspberry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Blue Raspberry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Blue Raspberry Lemon Limeade,Sticker (Logo),$1.00,Per Cup,$0.05,$0.05
Blue Raspberry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Blue Raspberry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Blue Raspberry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Blue Raspberry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Blue Raspberry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Blue Raspberry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Blue Raspberry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Blue Raspberry Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Blue Raspberry Lemon Limeade,Blue Raspberry,0.75,Per Oz,$0.29,$0.22
Blue Raspberry Lemon Limeade,,,,Cost Per Drink,$1.36
Candied Orange Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Candied Orange Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Candied Orange Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Candied Orange Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Candied Orange Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Candied Orange Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Candied Orange Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Candied Orange Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Candied Orange Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Candied Orange Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Candied Orange Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Candied Orange Lemon Limeade,Candied Orange,0.75,Per Oz,$0.29,$0.22
Candied Orange Lemon Limeade,,,,Cost Per Drink,$1.36
Coconut Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Coconut Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Coconut Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Coconut Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Coconut Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Coconut Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Coconut Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Coconut Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Coconut Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Coconut Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Coconut Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Coconut Lemon Limeade,Coconut,0.75,Per Oz,$0.29,$0.22
Coconut Lemon Limeade,,,,Cost Per Drink,$1.36
Cucumber Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Cucumber Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Cucumber Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Cucumber Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Cucumber Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Cucumber Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Cucumber Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Cucumber Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Cucumber Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Cucumber Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Cucumber Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Cucumber Lemon Limeade,Cucumber,0.75,Per Oz,$0.30,$0.22
Cucumber Lemon Limeade,,,,Cost Per Drink,$1.36
Lavender Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Lavender Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Lavender Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Lavender Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Lavender Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Lavender Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Lavender Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Lavender Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Lavender Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Lavender Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Lavender Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Lavender Lemon Limeade,Lavender,0.75,Per Oz,$0.29,$0.22
Lavender Lemon Limeade,,,,Cost Per Drink,$1.36
Peach Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Peach Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Peach Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Peach Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Peach Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Peach Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Peach Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Peach Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Peach Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Peach Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Peach Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Peach Lemon Limeade,Peach,0.75,Per Oz,$0.29,$0.22
Peach Lemon Limeade,,,,Cost Per Drink,$1.36
Pineapple Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Pineapple Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Pineapple Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Pineapple Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Pineapple Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Pineapple Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Pineapple Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Pineapple Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Pineapple Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Pineapple Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Pineapple Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Pineapple Lemon Limeade,Pineapple,0.75,Per Oz,$0.29,$0.22
Pineapple Lemon Limeade,,,,Cost Per Drink,$1.36
Raspberry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Raspberry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Raspberry Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Raspberry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Raspberry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Raspberry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Raspberry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Raspberry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Raspberry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Raspberry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Raspberry Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Raspberry Lemon Limeade,Raspberry,0.75,Per Oz,$0.29,$0.22
Raspberry Lemon Limeade,,,,Cost Per Drink,$1.36
Strawberry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Strawberry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Strawberry Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Strawberry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Strawberry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Strawberry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Strawberry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Strawberry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Strawberry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Strawberry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Strawberry Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Strawberry Lemon Limeade,Strawberry,0.75,Per Oz,$0.29,$0.22
Strawberry Lemon Limeade,,,,Cost Per Drink,$1.36
Watermelon Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Watermelon Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Watermelon Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Watermelon Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Watermelon Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Watermelon Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Watermelon Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Watermelon Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Watermelon Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Watermelon Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Watermelon Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Watermelon Lemon Limeade,Watermelon,0.75,Per Oz,$0.29,$0.22
Watermelon Lemon Limeade,,,,Cost Per Drink,$1.36
French Vanilla Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
French Vanilla Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
French Vanilla Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
French Vanilla Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
French Vanilla Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
French Vanilla Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
French Vanilla Lemon Limeade,Ice,1,per lb,$0.19,$0.19
French Vanilla Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
French Vanilla Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
French Vanilla Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
French Vanilla Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
French Vanilla Lemon Limeade,French Vanilla,0.75,Per Oz,$0.29,$0.22
French Vanilla Lemon Limeade,,,,Cost Per Drink,$1.36
Cherry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Cherry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Cherry Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Cherry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Cherry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Cherry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Cherry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Cherry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Cherry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Cherry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Cherry Lemon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Cherry Lemon Limeade,Cherry,0.75,Per Oz,$0.29,$0.22
Cherry Lemon Limeade,,,,Cost Per Drink,$1.36
Sugar Free Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Lemon Limeade,Sugar Free Simple Syrup,6,Per Oz,$0.13,$0.75
Sugar Free Lemon Limeade,,,,Cost Per Drink,$1.83
Sugar Free Coconut Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Coconut Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Coconut Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Coconut Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Coconut Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Coconut Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Coconut Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Coconut Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Coconut Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Coconut Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Coconut Lemon Limeade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Coconut Lemon Limeade,Sugar Free Coconut,1,Per Oz,$0.29,$0.29
Sugar Free Coconut Lemon Limeade,,,,Cost Per Drink,$1.86
Sugar Free Peach Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Peach Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Peach Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Peach Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Peach Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Peach Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Peach Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Peach Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Peach Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Peach Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Peach Lemon Limeade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Peach Lemon Limeade,Sugar Free Peach,1,Per Oz,$0.29,$0.29
Sugar Free Peach Lemon Limeade,,,,Cost Per Drink,$1.87
Sugar Free Raspberry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Raspberry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Raspberry Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Raspberry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Raspberry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Raspberry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Raspberry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Raspberry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Raspberry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Raspberry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Raspberry Lemon Limeade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Raspberry Lemon Limeade,Sugar Free Raspberry,1,Per Oz,$0.29,$0.29
Sugar Free Raspberry Lemon Limeade,,,,Cost Per Drink,$1.86
Sugar Free Strawberry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Strawberry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Strawberry Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Strawberry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Strawberry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Strawberry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Strawberry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Strawberry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Strawberry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Strawberry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Strawberry Lemon Limeade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Strawberry Lemon Limeade,Sugar Free Strawberry,1,Per Oz,$0.29,$0.29
Sugar Free Strawberry Lemon Limeade,,,,Cost Per Drink,$1.86
Sugar Free Cherry Lemon Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Cherry Lemon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Cherry Lemon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Cherry Lemon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Cherry Lemon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Cherry Lemon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Cherry Lemon Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Cherry Lemon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Cherry Lemon Limeade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Cherry Lemon Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Cherry Lemon Limeade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Cherry Lemon Limeade,Sugar Free Cherry,1,Per Oz,$0.29,$0.29
Sugar Free Cherry Lemon Limeade,,,,Cost Per Drink,$1.86
Brazilian Lemonade,Straw,1,Per Cup,$0.01,$0.01
Brazilian Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Brazilian Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Brazilian Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Brazilian Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Brazilian Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Brazilian Lemonade,Ice,1,per lb,$0.19,$0.19
Brazilian Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Brazilian Lemonade,Lime,2,Per Cup,$0.22,$0.43
Brazilian Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Brazilian Lemonade,Sweetened Condensed Milk,2,Per Oz,$0.14,$0.28
Brazilian Lemonade,,,,Cost Per Drink,$1.36
Blue Raspberry Brazilian Lemonade,Straw,1,Per Cup,$0.01,$0.01
Blue Raspberry Brazilian Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Blue Raspberry Brazilian Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Blue Raspberry Brazilian Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Blue Raspberry Brazilian Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Blue Raspberry Brazilian Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Blue Raspberry Brazilian Lemonade,Ice,1,per lb,$0.19,$0.19
Blue Raspberry Brazilian Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Blue Raspberry Brazilian Lemonade,Lime,2,Per Cup,$0.22,$0.43
Blue Raspberry Brazilian Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Blue Raspberry Brazilian Lemonade,Sweetened Condensed Milk,2,Per Oz,$0.14,$0.28
Blue Raspberry Brazilian Lemonade,Blue Raspberry,0.25,Per oz,$0.29,$0.07
Blue Raspberry Brazilian Lemonade,,,,Cost Per Drink,$1.43
Candied Orange Brazilian Lemonade,Straw,1,Per Cup,$0.01,$0.01
Candied Orange Brazilian Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Candied Orange Brazilian Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Candied Orange Brazilian Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Candied Orange Brazilian Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Candied Orange Brazilian Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Candied Orange Brazilian Lemonade,Ice,1,per lb,$0.19,$0.19
Candied Orange Brazilian Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Candied Orange Brazilian Lemonade,Lime,2,Per Cup,$0.22,$0.43
Candied Orange Brazilian Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Candied Orange Brazilian Lemonade,Sweetened Condensed Milk,2,Per Oz,$0.14,$0.28
Candied Orange Brazilian Lemonade,Candied Orange,0.25,Per oz,$0.29,$0.07
Candied Orange Brazilian Lemonade,,,,Cost Per Drink,$1.43
Coconut Brazilian Lemonade,Straw,1,Per Cup,$0.01,$0.01
Coconut Brazilian Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Coconut Brazilian Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Coconut Brazilian Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Coconut Brazilian Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Coconut Brazilian Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Coconut Brazilian Lemonade,Ice,1,per lb,$0.19,$0.19
Coconut Brazilian Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Coconut Brazilian Lemonade,Lime,2,Per Cup,$0.22,$0.43
