Drink Name,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item
Pineapple Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Pineapple Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Pineapple Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Pineapple Lemonade,Pineapple,0.75,Per Oz,$0.29,$0.22
Pineapple Lemonade,,,,Cost Per Drink,$1.14
Raspberry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Raspberry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Raspberry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Raspberry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Raspberry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Raspberry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Raspberry Lemonade,Ice,1,per lb,$0.19,$0.19
Raspberry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Raspberry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Raspberry Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Raspberry Lemonade,Raspberry,0.75,Per Oz,$0.29,$0.22
Raspberry Lemonade,,,,Cost Per Drink,$1.14
Strawberry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Strawberry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Strawberry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Strawberry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Strawberry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Strawberry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Strawberry Lemonade,Ice,1,per lb,$0.19,$0.19
Strawberry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Strawberry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Strawberry Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Strawberry Lemonade,Strawberry,0.75,Per Oz,$0.29,$0.22
Strawberry Lemonade,,,,Cost Per Drink,$1.14
Watermelon Lemonade,Straw,1,Per Cup,$0.01,$0.01
Watermelon Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Watermelon Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Watermelon Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Watermelon Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Watermelon Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Watermelon Lemonade,Ice,1,per lb,$0.19,$0.19
Watermelon Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Watermelon Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Watermelon Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Watermelon Lemonade,Watermelon,0.75,Per Oz,$0.29,$0.22
Watermelon Lemonade,,,,Cost Per Drink,$1.14
French Vanilla Lemonade,Straw,1,Per Cup,$0.01,$0.01
French Vanilla Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
French Vanilla Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
French Vanilla Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
French Vanilla Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
French Vanilla Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
French Vanilla Lemonade,Ice,1,per lb,$0.19,$0.19
French Vanilla Lemonade,Water,2,per cup (8oz),$0.03,$0.06
French Vanilla Lemonade,Lemon,1,Per Cup,$0.28,$0.28
French Vanilla Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
French Vanilla Lemonade,French Vanilla,0.75,Per Oz,$0.29,$0.22
French Vanilla Lemonade,,,,Cost Per Drink,$1.14
Cherry Lemonade,Straw,1,Per Cup,$0.01,$0.01
Cherry Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Cherry Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Cherry Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Cherry Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Cherry Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Cherry Lemonade,Ice,1,per lb,$0.19,$0.19
Cherry Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Cherry Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Cherry Lemonade,Simple Syrup,2,Per Oz,$0.03,$0.07
Cherry Lemonade,Cherry,0.75,Per Oz,$0.29,$0.22
Cherry Lemonade,,,,Cost Per Drink,$1.14
Sugar Free Lemonade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Lemonade,Ice,1,per lb,$0.19,$0.19
Sugar Free Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Lemonade,Sugar Free Simple Syrup,6,Per Oz,$0.13,$0.75
Sugar Free Lemonade,,,,Cost Per Drink,$1.61
Sugar Free Coconut Lemonade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Coconut Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Coconut Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Coconut Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Coconut Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Coconut Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Coconut Lemonade,Ice,1,per lb,$0.19,$0.19
Sugar Free Coconut Lemonade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Coconut Lemonade,Lemon,1,Per Cup,$0.28,$0.28
Sugar Free Coconut Lemonade,Sugar Free Simple Syrup,4,Per Oz,$0.13,$0.50
Sugar Free Coconut Lemonade,Sugar Free Coconut,1,Per Oz,$0.29,$0.29
Sugar Free Coconut Lemonade,,,,Cost Per Drink,$1.65
Sugar Free Peach Lemonade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Peach Lemonade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Peach Lemonade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Peach Lemonade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Peach Lemonade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Peach Lemonade,Cup Labor,1,Per Cup,$0.06,$0.06
